"Accession","SICK-0168-KB","SICK-0166-KB","SICK-2106-MW","SICK-2096-MW","SICK-0167-KB","SICK-0174-KB","SICK-4176-SJ","SICK-2102-MW","SICK-0157-KB","SICK-4191-SJ","SICK-0170-KB","SICK-4196-SJ","SICK-2118-MW","SICK-0139-KB","SICK-0146-KB","SICK-4165-SJ","SICK-2099-MW","SICK-2117-MW","SICK-0155-KB","SICK-0175-KB","SICK-4206-SJ","SICK-2108-MW","SICK-2107-MW","SICK-4184-SJ","SICK-0162-KB","SICK-0138-KB","SICK-0135-KB","SICK-0169-KB","SICK-0164-KB","SICK-0145-KB","SICK-0156-KB","SICK-2101-MW","SICK-0153-KB","SICK-0144-KB"
"A1AG1_N103_H(4)N(4)S(2)",192976.8367,132830.2037,158133.2919,231556.5185,76016.80033,718226.6875,437368.3812,97156.50801,287229.0983,180072.5261,267722.8215,503948.2846,309573.8411,81638.28154,79242.94305,446716.2207,54904.01783,504885.0718,160633.4943,521178.6287,221356.3688,157469.7281,266437.3803,46805.36235,33070.00081,231313.737,28286.01821,364188.6001,92745.7013,211539.5117,305504.0714,379070.4125,141679.7591,307254.1506
"A1AG1_N103_H(5)N(4)F(2)",290400.3915,176387.175,225355.8599,537437.4046,742423.7129,271097.4072,499009.1215,603532.7377,678082.8473,534834.807,45511.04209,532093.112,296717.2746,643312.1742,42287.68189,2013971.291,421084.109,263105.1397,198193.4643,466358.1995,217637.2913,718299.4388,1130962.339,385236.9558,587254.4525,213284.6395,327904.5568,109798.7816,183302.8014,326351.5539,322841.5109,1838262.484,689531.2807,1171158.627
"A1AG1_N103_H(5)N(4)S(1)",437774.9955,255649.1121,661589.6655,875043.9356,1336013.494,307028.3681,1130162.304,1840361.958,964300.3149,1025975.646,86931.77309,969875.4645,450666.3191,919222.6721,91421.83803,2859774.516,681404.0051,454305.8274,323273.8694,629041.7367,366747.1225,1490059.873,2447730.757,585774.1818,755621.8681,293851.4115,433619.7488,116815.7702,224944.9239,453517.762,450392.0204,2232128.53,928911.6436,2665365.465
"A1AG1_N103_H(5)N(4)S(2)",10259740.49,9765593.688,10001773.11,4018902.913,17959499.91,7517735.926,9989373.17,12890900.45,15416793.24,17571430.7,1243551.763,13751101.05,7589218.698,13293870.08,641978.7153,42284946.37,3822577.997,3988407.114,4750529.537,8016741.142,3078152.719,13044921.39,20921822.02,4386998.607,7813368.237,3538698.446,2836077.582,3536824.5,2301051.176,2787268.354,2867930.027,17292616.95,8659395.202,12626638.15
"A1AG1_N103_H(5)N(4)S(2)F(1)",149366.8192,136276.9943,357531.8339,117778.2298,94447.24004,260777.3951,394291.6759,448517.5037,304974.1543,171579.3501,1457788.951,118677.8793,90861.80973,304156.3503,7940.668972,78951.24577,241688.5886,319122.5719,169122.8077,521178.6287,103101.3192,422877.8247,423850.1542,245388.9363,506699.2553,293851.4115,198015.2255,122733.765,123233.9409,219736.101,188631.3848,253060.0269,290409.5388,471415.1519
"A1AG1_N103_H(5)N(5)S(2)",107198.0825,500255.1748,32878.29883,273381.3286,85082.84368,317471.6358,216780.6044,119056.6368,195791.6409,88810.91647,2138111.255,596209.4146,118287.2072,129504.2735,40570.78403,391739.2404,116267.1649,174775.6907,59651.39549,52970.56701,24590.15376,226206.2255,379852.4426,67799.01911,83344.42929,71365.03048,42335.16249,61336.87648,109834.4284,123851.0729,137469.8512,308801.468,137102.2832,337559.4099
"A1AG1_N103_H(5)N(5)S(3)F(1)",2044907.426,887501.0675,259274.1475,817656.8467,1113468.996,447522.7659,300437.6498,5697116.375,1111210.594,2563962.73,993366.2983,1963608.51,688495.6146,1402648.921,280329.126,1766746.881,209859.0154,485893.6469,361290.3783,626487.2209,367524.0403,420926.2425,1159471.43,274915.7217,593313.6,646137.2983,469979.1194,865722.2808,62048.69899,881263.4721,1027196.709,637654.587,521360.4853,861734.0765
"A1AG1_N103_H(5)N(6)F(3)",2165628.906,1867132.47,2744613.077,3098640.458,1880019.01,1418554.94,3090324.952,2764001.268,3190603.794,3455257.453,374291.6286,3155485.366,2281130.38,2390737.748,1356737.597,3024220.855,1789576.516,1483676.874,3428087.689,298610.2957,789036.0452,1314411.027,1338544.649,1528034.114,657835.9043,1083812.005,671323.3939,2036931.948,1005621.436,1417671.948,1828926.583,2417736.431,932055.6454,1048970.182
"A1AG1_N103_H(6)N(4)S(2)",208339.1386,169127.9057,211463.8901,294456.0233,297837.6583,334189.2927,593575.6186,177306.7769,452762.9245,139442.4947,414974.7741,772772.6809,379022.4067,174734.0921,156933.1551,1344029.908,143370.1826,264573.1782,94526.15145,98947.24398,119117.1442,346375.7138,643478.1391,275436.6578,281797.1693,148357.3805,104638.0848,62027.26123,190040.2298,264271.2521,323925.5103,462995.3128,364875.847,424507.6291
"A1AG1_N103_H(6)N(5)S(1)F(2)",2287334.587,2051768.639,1313602.822,4658797.705,2152172.81,1877479.582,2410079.545,3613642.451,4856583.25,2352121.971,149759.8805,7861014.341,2855002.007,3666266.706,706047.0317,10018841.69,1349233.053,1304449.098,2630705.212,1153664.575,1904861.418,3903995.807,8706256.954,2241493.19,2301202.886,1197491.388,633275.6203,3305880.796,1029653.527,2385482.34,3146772.772,7115153.947,3571004.093,7102528.997
"A1AG1_N103_H(6)N(5)S(2)",2594451.037,1790255.152,1582301.882,3105092.319,2876473.024,2014345.721,4255139.787,4391219.435,5649243.985,2830222.483,78441.2752,10189442.04,4082223.455,4520554.95,789495.2426,12451233.68,1378746.407,927041.0663,4208518.926,1311875.273,2133511.981,4593467.973,10984919.34,3041713.322,2664346.914,2625318.73,850408.5518,4070202.469,1062961.73,3994728.046,4622148.112,9487886.272,4400063.028,9219132.287
