"Accession","Coefficient_age","P_Value_age","R_Squared_age","Q_Value_age","Coefficient_alb","P_Value_alb","R_Squared_alb","Q_Value_alb","Coefficient_alt","P_Value_alt","R_Squared_alt","Q_Value_alt","Coefficient_ast","P_Value_ast","R_Squared_ast","Q_Value_ast","Coefficient_bp_syst","P_Value_bp_syst","R_Squared_bp_syst","Q_Value_bp_syst","Coefficient_c02","P_Value_c02","R_Squared_c02","Q_Value_c02","Coefficient_crp","P_Value_crp","R_Squared_crp","Q_Value_crp","Coefficient_ferritin","P_Value_ferritin","R_Squared_ferritin","Q_Value_ferritin","Coefficient_gluc_rand","P_Value_gluc_rand","R_Squared_gluc_rand","Q_Value_gluc_rand","Coefficient_hct","P_Value_hct","R_Squared_hct","Q_Value_hct","Coefficient_hgb","P_Value_hgb","R_Squared_hgb","Q_Value_hgb","Coefficient_lact1_res","P_Value_lact1_res","R_Squared_lact1_res","Q_Value_lact1_res","Coefficient_onset_days","P_Value_onset_days","R_Squared_onset_days","Q_Value_onset_days","Coefficient_plates","P_Value_plates","R_Squared_plates","Q_Value_plates","Coefficient_pulse","P_Value_pulse","R_Squared_pulse","Q_Value_pulse","Coefficient_resp","P_Value_resp","R_Squared_resp","Q_Value_resp","Coefficient_temp","P_Value_temp","R_Squared_temp","Q_Value_temp","Coefficient_totbili","P_Value_totbili","R_Squared_totbili","Q_Value_totbili","Coefficient_urea","P_Value_urea","R_Squared_urea","Q_Value_urea","Coefficient_uvascore","P_Value_uvascore","R_Squared_uvascore","Q_Value_uvascore","Coefficient_wbc","P_Value_wbc","R_Squared_wbc","Q_Value_wbc"
"A1AG1_N103_H(4)N(4)S(2)",0.578424731911306,0.836409769817773,0.00135247610719408,0.997770113269056,-1.81019589974688,0.13861101030165,0.0693715299400174,0.378770764713042,-0.683115310267695,0.72288764157789,0.00411365060501904,0.928558073725167,3.07106156628114,0.593105419075375,0.00931628755194899,0.844483778041,-4.43569793458408,0.27830330663315,0.036619065346982,0.866526400732625,-0.94647629055456,0.174760570861441,0.0605056922394491,0.737133286847516,36.1511514142579,0.01237700819303,0.185378261734048,0.185324038749365,175.186773308734,0.0657014432218779,0.115851598788467,0.332117500981864,0.348710478519148,0.376142697288248,0.0253498171412149,0.918639971116288,-2.44849975048417,0.0613838413289918,0.108373050958508,0.481800492627804,-0.916555167873119,0.053977237295558,0.114598753729295,0.445776869846053,0.484956787429488,0.00618817241333932,0.211656610656408,0.392425333658226,2.35245169692873,0.471767335395263,0.0163023845893211,0.783175576520046,-14.7317986750694,0.337985500758995,0.0296466262590469,0.792801156076041,4.45830879820349,0.118534967886299,0.0744192199699651,0.397722842875285,1.71755711215616,0.0189203926275847,0.160393539742499,0.248073719772159,-0.0752920128193826,0.593841188006859,0.00898624302226293,0.999132892486436,16.1327301225306,0.211456305445765,0.0498960688702536,0.689575072031205,1.34850736752406,0.0235556879372314,0.154679134242706,0.25961643229216,0.652193424060061,0.0112583335375107,0.184422162817195,0.103974685389608,0.199999468593144,0.743766713713574,0.00349645365949626,0.995892677759284
"A1AG1_N103_H(5)N(4)F(2)",4.96976309464757,0.0554109336749099,0.109938821868767,0.674628597191151,0.60336831756217,0.602227728978136,0.00886568730924428,0.802580891965043,0.423889362019979,0.813539560837275,0.00182205585425308,0.958235082120509,5.24296992583786,0.32517281125302,0.0312347373935706,0.658654706626511,3.22465495810534,0.410054930549451,0.0213105001517904,0.909453229389214,0.270004633884213,0.653714284557058,0.00679775734829569,0.931416447134124,35.856169386171,0.00735472682936975,0.209777838294494,0.149892351159798,-113.971184848567,0.191088465288838,0.0602457032184735,0.544721060802622,0.183493255857464,0.61898251316619,0.00807425266756629,0.953833294261312,-0.580567268952149,0.643222856627364,0.00700879817093898,0.893316918806602,-0.0648383573048182,0.887174347413866,0.000659696177073487,0.970417965188008,0.062349175993781,0.727304767215792,0.00385239669133777,0.986906843533193,-4.85536498554046,0.113377195511564,0.0764710899940317,0.470838413570233,-19.3651921752046,0.173452060807729,0.058928398363069,0.687433731288547,-6.38558516417184,0.0160277896571058,0.168108640555809,0.148766689273327,0.299127165207725,0.680805082078413,0.00535697993646674,0.863827880774858,0.170693197313277,0.199707649594179,0.05085768443581,0.999132892486436,5.37120577421137,0.659035994301523,0.00636226071008444,0.934160487327658,0.684842143213273,0.231262507381062,0.0458905568788716,0.630882895714586,-0.0743119217350778,0.773048079798579,0.00263645932991554,0.901415611012658,-0.0491831835469695,0.931353388640053,0.000243231967641155,0.995892677759284
"A1AG1_N103_H(5)N(4)S(1)",3.45538510617302,0.168906584593451,0.0583022121954409,0.817334621216601,0.402445925727212,0.716511236936709,0.0043133443932999,0.873287793806361,0.560101751019986,0.744389219053419,0.0034789018062075,0.935283408044036,6.0446831399155,0.233817839477797,0.0454027193770277,0.58474456976703,1.56090028732263,0.677422701596492,0.00547759445758134,0.968421757698608,0.294070185184382,0.609869794610374,0.00878571930952892,0.921522377528417,30.1042817742007,0.0203456457723875,0.161711171746576,0.223639338330083,-112.88854337255,0.170863803263074,0.0659041108281047,0.517487580492574,0.196595991816611,0.577208702635026,0.0101359182664283,0.948523712981904,-1.16113116437466,0.329747262864822,0.0306586255337573,0.736527478127585,-0.264748360570949,0.543474592085936,0.0120281318134143,0.838303677423541,0.00999135961907386,0.953371371592797,0.000108525341457661,0.995753961847521,-3.34685933798678,0.257612829543964,0.0398603264606942,0.641027527171019,-23.5972947997045,0.0798208232264225,0.0956879192024155,0.567278333343644,-5.66640085585267,0.0261781171271982,0.145216390134956,0.190984422651878,0.29749191227461,0.668250061014351,0.00581260820442223,0.859446724337334,0.215396165647923,0.0868712944400014,0.0888408093755811,0.999132892486436,9.35353079073978,0.419925046590553,0.0210994288621119,0.837596935097654,0.669768980305521,0.220576789970072,0.0480003154100688,0.621892023460645,-0.108384342737659,0.659256871902411,0.00615247138552364,0.846559758872815,-0.121486749487755,0.823855151390135,0.00162291907104567,0.995892677759284
"A1AG1_N103_H(5)N(4)S(2)",3.45835460175133,0.177444674437772,0.0560962467325032,0.817734879048739,0.718386165289052,0.526901329432081,0.0130389377610149,0.75022537389899,0.364872678017668,0.83618828243052,0.00140061323375767,0.959777906776481,0.706886300713259,0.893349129025995,0.000589062183043835,0.961597349530461,2.71404131981122,0.477242732179788,0.0159065174623334,0.917673091811432,0.205237750898678,0.732350849334163,0.00395644401118271,0.948676585742697,27.0503152701818,0.0445786973050088,0.123866929674962,0.314646216252134,-115.243765805119,0.161164301733478,0.0688845872926577,0.501751700714046,0.519934533300957,0.145000650955049,0.0672571306991544,0.848752014555767,0.0443556744160222,0.971296298026799,4.24439426323405e-05,0.994703935519619,0.133855153196896,0.765312545155387,0.00291695035560623,0.933413648694124,0.0439464166178824,0.800898582343497,0.00201665477108723,0.987615013070314,-3.59457522280268,0.232898807805267,0.0441635245228436,0.615794580731077,-24.4885430273863,0.0764534009633387,0.0977655382145065,0.560748965784488,-4.59567052263971,0.0816295253276787,0.0917490254935346,0.331299690257271,0.617264413387977,0.381299072476882,0.024036201990817,0.6804672195496,0.133538783707139,0.305356458459564,0.0327985047281603,0.999132892486436,6.55312166512016,0.583133453894134,0.00982524137574352,0.909794132078584,0.601773538117206,0.285114050006546,0.0367610097225901,0.670776954893006,-0.0241079317502103,0.923535890213133,0.000292374205215147,0.968549666592957,-0.243706020728295,0.663260225942466,0.00619581987431293,0.995892677759284
"A1AG1_N103_H(5)N(4)S(2)F(1)",2.19377423536024,0.408762237266736,0.0214271830156149,0.912739946919549,-1.57486429665539,0.170034398336522,0.0598467776034484,0.422109722650862,-1.07756374459492,0.549629392796996,0.0116667443928364,0.848846892884683,1.08301884904363,0.840876529997852,0.00132057249319582,0.940595130705874,-0.0147054841342455,0.997018290245666,4.4328935674334e-07,0.998940303186354,-0.423581870108523,0.482396124039158,0.0165849654157851,0.893687675487169,7.37997807397333,0.603470287058942,0.00880539936242804,0.848882956877777,67.3447234823995,0.422494834808321,0.0231189708629173,0.743605341195517,0.252848960763903,0.494389588113584,0.0151911817153942,0.935571076733474,-1.48415308390055,0.233916447197371,0.04538401843458,0.664509714229886,-0.476840853531838,0.294703432986466,0.0353536261099228,0.704712089642173,0.136846224176813,0.442301955708503,0.0185625105390809,0.924194978814377,5.91365220252563,0.0514114904266091,0.11346621939892,0.367585580715452,-15.3286458527084,0.286296290733879,0.0365843789405864,0.762347099744863,-0.0912148846770363,0.973772375160683,3.43100673530668e-05,0.989206520765384,0.142298284947835,0.844993609865459,0.0012125765116037,0.941877679790541,0.101226044654461,0.450767310023359,0.0178899942618278,0.999132892486436,9.90175350099431,0.416334335961536,0.0214239325190543,0.836054080610082,0.224327601796826,0.699311347295031,0.00487882106217717,0.902640689104095,0.10552846436706,0.681908855148776,0.00531795721164261,0.856775743025699,-0.602384627724075,0.289210187776908,0.0361528244098916,0.995892677759284
"A1AG1_N103_H(5)N(5)S(2)",2.08599801378277,0.392309487529736,0.0229595372389148,0.907929434655507,-2.35918440664008,0.0264320010612447,0.149134513644249,0.148234977380205,-1.53430640353178,0.367544687024739,0.0262656301287035,0.744346221143333,3.94444804899774,0.438873330023846,0.0194519249421595,0.739822604258485,-2.91403992831899,0.417726086604997,0.0206287912034108,0.909453229389214,-0.153547078461696,0.794462787952344,0.00229771697277089,0.96261476126827,30.3373307395345,0.0189033726586725,0.165231762362062,0.221362790054114,124.737631498806,0.12155978657498,0.0834527668304547,0.439295226908739,0.251215523859036,0.474171843872499,0.0166518329993434,0.935571076733474,-2.02971854724993,0.0822267802252722,0.0942577519232135,0.523019242018099,-0.681355700662432,0.11036855208124,0.0801557582313627,0.531596771837976,0.183845984090138,0.258567868191097,0.0397039306850027,0.845628482618742,1.70487647779692,0.551810953589415,0.0111762214385913,0.822917457737964,-32.2184895680914,0.0140203054616953,0.179472679273449,0.354550301307411,-0.0133392416214184,0.995823869454338,8.69574019596349e-07,0.998245620109626,1.45009221053979,0.0240289718945144,0.149229674816486,0.261338844720814,-0.0543200084741586,0.660490007773798,0.0061051938489617,0.999132892486436,8.84386327443343,0.444554917377228,0.0189783694963696,0.84875190802637,1.08139396489141,0.04274865309246,0.125897536968463,0.336921506782257,0.539464908096349,0.0172492770797525,0.164697168945292,0.129510965615191,-0.649981658562903,0.226885572099521,0.0467408452574575,0.995892677759284
"A1AG1_N103_H(5)N(5)S(3)F(1)",2.51084554406724,0.353268120027881,0.0269799455362874,0.89022167788062,0.107267344039099,0.929386795459199,0.000257403075461714,0.976780308741158,-2.60250561871538,0.158537567804979,0.0630915610289035,0.564532606825177,-7.46646465513873,0.17625685242207,0.058189472947584,0.519390761265371,0.823017527652944,0.83747714688143,0.00133464780498383,0.984482722638513,0.338805996298142,0.590123506773821,0.00978589696191877,0.919703063819152,11.0343197027393,0.453517763729317,0.0182496365810079,0.779843617993521,25.0612196146192,0.776982805739709,0.00291279428993956,0.9310241643195,0.654764200815261,0.081913408510281,0.09444158029249,0.825633201188644,0.380095528471456,0.771555822534515,0.00275965791291949,0.93539797073155,0.0319041126018835,0.946658710569984,0.000146725152679664,0.983508223591262,-0.0253691453039935,0.889441072140975,0.000613200647253711,0.994330340330356,-2.65512552953138,0.402651831871288,0.02198593812896,0.741613427602077,1.68148826110825,0.911148863064059,0.000408131358859431,0.983088404024003,-3.10912799300586,0.267227447021107,0.0383166209914308,0.577759207768935,1.36369663485402,0.0589254292911518,0.107044711235179,0.35427313375439,0.136941130440602,0.315515265077981,0.0314712027735112,0.999132892486436,-11.9959964257431,0.34210731408152,0.0291522316227203,0.795705779366686,-0.507549364590118,0.397912073011072,0.0231542234348598,0.752382369243871,-0.209531132483522,0.423212975226472,0.0201522053481374,0.690054497781918,0.24949960134483,0.674918652320485,0.00574987446239502,0.995892677759284
"A1AG1_N103_H(5)N(6)F(3)",-0.0684419571260507,0.985241985797572,1.08606960914018e-05,0.999310049266719,-1.17101428145493,0.471993867468976,0.0168151466110974,0.711015789714328,4.50491576492524,0.067717783859409,0.103623646096019,0.456047058802387,11.5146947879861,0.12080890711837,0.075860701902594,0.460660791065607,-5.32488979194374,0.325098139989686,0.0302678451458124,0.885867420691114,0.00749552599679959,0.993175414317667,2.47969437919178e-06,0.998829736731615,28.3089998701202,0.149450452727366,0.065843020571718,0.503858359555258,-61.0131687329367,0.612850365422835,0.00926586549517001,0.857670441411653,0.732120674748103,0.153080618463868,0.0647226564279228,0.848752014555767,-1.86924211663034,0.286294732667164,0.0365846111328694,0.704703741771301,-0.591418566725468,0.355153285584129,0.0276374989181153,0.741236376292546,0.124152946799681,0.615906267193931,0.00795640249998904,0.971241031551224,-3.83794225529971,0.372891215111176,0.0248876279003366,0.722171795202665,1.97720290879017,0.922611513359089,0.000309323108231288,0.984247691505364,3.40119508208185,0.373336297994325,0.0248419014415639,0.669267032885977,1.87286538584132,0.0560676850593263,0.109384189159641,0.347013510232047,0.109048098587855,0.558406596788047,0.0108116870679489,0.999132892486436,18.5863566993449,0.274674211315007,0.0383605905372865,0.750800463554682,1.42746336560126,0.0724023659791341,0.100392480318299,0.418631271188954,0.370111243836218,0.296046041490131,0.0340644801419841,0.578342077261764,-0.000456794307088287,0.999547052439059,1.0564710838793e-08,0.999711296196895
"A1AG1_N103_H(6)N(4)S(2)",0.579553193354399,0.867034765406009,0.000889380383208894,0.997770113269056,-1.62832620426408,0.296022380674403,0.0351644712221791,0.565432925458706,-1.02541900065725,0.673402882866347,0.00580675139854605,0.910684607340906,9.70886047341031,0.175718830008266,0.0583302055720154,0.519390761265371,-2.61676036870454,0.60731853780237,0.00834788161863986,0.952652835913845,-0.315002112180802,0.707629360385912,0.00475595066557377,0.946510103389296,59.5235516431277,0.000681359661669832,0.31483525553062,0.0685015737903182,11.8823974048467,0.920685700659425,0.000360391229054746,0.982257353945138,0.0989239202871138,0.843428985857282,0.00127802285750705,0.973827695744671,-3.05997276911949,0.0644238446138602,0.10603456120169,0.486800843034933,-0.85460369862753,0.160865591001155,0.0624141928065415,0.586303450601544,0.283436578514681,0.216325541437633,0.0473590075640679,0.828711786064983,-0.819758886466754,0.839772670645166,0.00129672241315965,0.954140185857388,-59.2835757668876,0.000952028608374241,0.300762480620397,0.167259089472952,-2.06362779788057,0.565208006373249,0.0104441381199347,0.809234943477086,1.76430292564257,0.0543369374210828,0.11086024970369,0.342472256956733,0.0499900957448544,0.774799409928014,0.00259485639241422,0.999132892486436,25.4131002760257,0.116550742097597,0.0775634363333013,0.57179437936447,1.93918248697359,0.00899735242947625,0.200379641159412,0.159858132389229,0.590718595657056,0.0697734129171953,0.0991029565371243,0.285606760719642,-0.425240601267276,0.58165511105399,0.00990217708312214,0.995892677759284
"A1AG1_N103_H(6)N(5)S(1)F(2)",1.70598227046401,0.52961354715148,0.0124637929065125,0.950901274311607,1.33382075168702,0.269128590440196,0.0392405627334107,0.535916932267869,1.02368996067873,0.587022590967789,0.00962468268433127,0.872421568437964,2.66065739170579,0.63672534124864,0.00728540864072023,0.864898200230334,1.98169769970185,0.620692790071427,0.00774325287563352,0.957180596447007,0.41010871330332,0.53276339206711,0.0131017168597133,0.905640991866898,38.9967730127632,0.00531870921230077,0.224740864150357,0.134111095748486,-131.078563238033,0.138820836904901,0.0765598525584696,0.465219097334962,0.253207331333365,0.513082657992276,0.0139253960369726,0.938902419744615,-0.47346929754935,0.719407919788441,0.00422196845393835,0.915562427108834,-0.0546417663599459,0.90940793413204,0.000424348138791611,0.971592097592953,0.058989093625821,0.746267392691704,0.00331768006656967,0.987615013070314,-6.64153403761551,0.0307498205481534,0.137661283377603,0.314518015631484,0.813263418943277,0.957264403964969,9.41318018612346e-05,0.991708129018576,-5.21399430731225,0.0579465921212543,0.107832886542151,0.278007373818679,0.793717691449114,0.280528415308404,0.0362879072346184,0.609314006339679,0.102218693719287,0.455178303122243,0.0175471384012923,0.999132892486436,2.46255077279021,0.847525493660388,0.00121124263143625,0.970963245111377,0.526281571990565,0.383921977831904,0.0245454828602676,0.741509058941739,-0.098332717792448,0.708047737210051,0.00444141821054256,0.871255298079092,0.151488611641077,0.800557738672241,0.00208997086528662,0.995892677759284
