"Accession","Coefficient","P_Value","R_Squared","Q_Value"
"A1AG1_N103_H(4)N(4)S(2)",0.199999468593144,0.743766713713574,0.00349645365949626,0.995892677759284
"A1AG1_N103_H(5)N(4)F(2)",-0.0491831835469695,0.931353388640053,0.000243231967641155,0.995892677759284
"A1AG1_N103_H(5)N(4)S(1)",-0.121486749487755,0.823855151390135,0.00162291907104567,0.995892677759284
"A1AG1_N103_H(5)N(4)S(2)",-0.243706020728295,0.663260225942466,0.00619581987431293,0.995892677759284
"A1AG1_N103_H(5)N(4)S(2)F(1)",-0.602384627724075,0.289210187776908,0.0361528244098916,0.995892677759284
"A1AG1_N103_H(5)N(5)S(2)",-0.649981658562903,0.226885572099521,0.0467408452574575,0.995892677759284
"A1AG1_N103_H(5)N(5)S(3)F(1)",0.24949960134483,0.674918652320485,0.00574987446239502,0.995892677759284
"A1AG1_N103_H(5)N(6)F(3)",-0.000456794307088287,0.999547052439059,1.0564710838793e-08,0.999711296196895
"A1AG1_N103_H(6)N(4)S(2)",-0.425240601267276,0.58165511105399,0.00990217708312214,0.995892677759284
"A1AG1_N103_H(6)N(5)S(1)F(2)",0.151488611641077,0.800557738672241,0.00208997086528662,0.995892677759284
"A1AG1_N103_H(6)N(5)S(2)",0.284981147142848,0.582135440966319,0.00987713739917549,0.995892677759284
"A1AG1_N103_H(6)N(5)S(2)F(1)",-0.132218035149375,0.801820147558086,0.00206306380254718,0.995892677759284
"A1AG1_N103_H(6)N(5)S(2)F(2)",-0.481948882337943,0.294321952331492,0.0354085308804556,0.995892677759284
"A1AG1_N103_H(6)N(5)S(3)",0.291781581327228,0.539296199433277,0.0122777363682389,0.995892677759284
"A1AG1_N103_H(6)N(5)S(3)F(1)",0.285775026961445,0.51709231717258,0.0136639745014274,0.995892677759284
"A1AG1_N103_H(6)N(5)S(3)F(2)",0.222296407732483,0.49504030949469,0.0151457845502111,0.995892677759284
"A1AG1_N103_H(6)N(6)S(3)F(1)",0.635179180895221,0.245511781845469,0.0432468786492018,0.995892677759284
"A1AG1_N103_H(7)N(6)S(1)F(3)",-0.427573523569343,0.366989510227756,0.0263257601784321,0.995892677759284
"A1AG1_N103_H(7)N(6)S(2)",0.15755898194166,0.732313062778756,0.0038281314447604,0.995892677759284
"A1AG1_N103_H(7)N(6)S(2)F(2)",0.562487644268072,0.318897645110778,0.0320421253467131,0.995892677759284
"A1AG1_N103_H(7)N(6)S(3)",0.623981022515898,0.263303147016136,0.0401887486664821,0.995892677759284
"A1AG1_N103_H(7)N(6)S(3)F(1)",0.127968706273673,0.851642050215097,0.00114600229071389,0.995892677759284
"A1AG1_N103_H(7)N(6)S(3)F(2)",0.171312306992829,0.544610377041169,0.0119608826442458,0.995892677759284
"A1AG1_N103_H(7)N(6)S(3)F(3)",0.18571182819305,0.693886207139629,0.00506544226739849,0.995892677759284
"A1AG1_N103_H(7)N(6)S(3)F(5)",0.831525959444055,0.188182286035912,0.0551867795048234,0.995892677759284
"A1AG1_N103_H(7)N(6)S(4)",0.507950783956739,0.341385629370503,0.0292382322365685,0.995892677759284
"A1AG1_N103_H(7)N(6)S(4)F(1)",0.173122345045596,0.531620708224271,0.0127454007241542,0.995892677759284
"A1AG1_N103_H(7)N(6)S(4)F(2)",0.0470021750790268,0.869775667849421,0.000880720494241244,0.995892677759284
"A1AG1_N103_H(7)N(6)S(4)F(3)",0.0638237151119611,0.847351110453302,0.00121404756957293,0.995892677759284
"A1AG1_N103_H(7)N(7)S(3)F(1)",-1.1945003739995,0.132671072228054,0.0714329253459922,0.995892677759284
"A1AG1_N103_H(8)N(7)S(3)",0.492826346923608,0.403148202116013,0.0226510074310875,0.995892677759284
"A1AG1_N103_H(8)N(7)S(4)",0.41920893828428,0.494158330681187,0.0152073389284565,0.995892677759284
"A1AG1_N103_H(8)N(7)S(4)F(1)",0.279127840088035,0.532427648726326,0.0126956701706286,0.995892677759284
"A1AG1_N103_H(8)N(7)S(4)F(3)",-0.19671495851026,0.67398970205376,0.00578469309418527,0.995892677759284
"A1AG1_N103_H(8)N(7)S(5)",0.207944273525675,0.617112300585229,0.00816031850160669,0.995892677759284
"A1AG1_N103_H(9)N(5)S(1)",0.668065207443102,0.287098189158764,0.0364650804026012,0.995892677759284
"A1AG1_N33_H(10)N(6)",0.403208637734425,0.702566389005311,0.00476876745834408,0.995892677759284
"A1AG1_N33_H(11)N(7)S(1)",-0.0352396217723802,0.961513182390935,7.63319115113505e-05,0.997481574810725
"A1AG1_N33_H(11)N(7)S(1)F(1)",-0.154519091779525,0.776945549020651,0.00262765008849361,0.995892677759284
"A1AG1_N33_H(11)N(8)F(1)",-0.644942855433715,0.273298369963676,0.0385768936972627,0.995892677759284
"A1AG1_N33_H(4)N(6)S(2)F(2)",-0.106736755070072,0.849283704608644,0.00118314948336665,0.995892677759284
"A1AG1_N33_H(5)N(3)S(1)F(1)",-0.217255993344194,0.823193457469941,0.00163533021310087,0.995892677759284
"A1AG1_N33_H(5)N(4)F(2)",-0.0821371140423655,0.862999007976981,0.0009756602567585,0.995892677759284
