"Accession","SICK-0168-KB","SICK-0166-KB","SICK-2106-MW","SICK-2096-MW","SICK-0167-KB","SICK-0174-KB","SICK-4176-SJ","SICK-2102-MW","SICK-0157-KB","SICK-4191-SJ","SICK-0170-KB","SICK-4196-SJ","SICK-2118-MW","SICK-0139-KB","SICK-0146-KB","SICK-4165-SJ","SICK-2099-MW","SICK-2117-MW","SICK-0155-KB","SICK-0175-KB","SICK-4206-SJ","SICK-2108-MW","SICK-2107-MW","SICK-4184-SJ","SICK-0162-KB","SICK-0138-KB","SICK-0135-KB","SICK-0169-KB","SICK-0164-KB","SICK-0145-KB","SICK-0156-KB","SICK-2101-MW","SICK-0153-KB","SICK-0144-KB"
"A1AG1_N103_H(4)N(4)S(2)",17.5580756394479,17.0192345679233,17.2707907288474,17.8210110754714,16.2140496591703,19.454081744049,18.7384926999963,16.5680378663561,18.1318474088101,17.4582265703302,18.0303859870835,18.942919028524,18.2399287040098,16.3169758656531,16.2740130477268,18.7690023452401,15.7446503842926,18.9455983530098,17.2934222017377,18.9914211689571,17.7560178747724,17.2647241484475,18.0234423912311,15.5144170270274,15.0132790852471,17.819497657054,14.7878524869881,18.474330199337,16.5010083502019,17.6905744518808,18.220836803492,18.5321101348504,17.1122843213603,18.229077669519
"A1AG1_N103_H(5)N(4)F(2)",18.1476888406677,17.4283943208159,17.7818518410336,19.0357398924501,19.5018852083194,18.0484571112885,18.9287095527043,19.2030748947163,19.3711041528201,19.0287365308405,15.4739606999144,19.0213219135987,18.1787342582246,19.2951617079036,15.3679839727751,20.941612403656,18.683752332248,18.0052853892705,17.5965571421153,18.8310820510245,17.7315728812486,19.4542278712816,20.1091207333998,18.5553903270127,19.16362867775,17.7024273068777,18.3229208247798,16.7445156591541,17.4838771795948,18.3160718037172,18.300471035167,20.8099121367218,19.3952585680407,20.1595062953651
"A1AG1_N103_H(5)N(4)S(1)",18.7398333240618,17.9638111330691,19.3355793538495,19.738997579042,20.3495042285647,18.2280171338948,20.1080998205918,20.8115588932516,19.8791244897601,19.9685664610065,16.4076125457822,19.8874414738983,18.7817033088215,19.8100564255774,16.4802669846241,21.4474704734382,19.3781530188867,18.79330746106,18.3024018346655,19.2627985105091,18.4844300547407,20.5069398391937,21.22301403338,19.1599875446555,19.5273068384119,18.1647322122898,18.7260742658949,16.833887876631,17.7792186994443,18.7908027104926,18.7808249450336,21.0899893182056,19.8251834041224,21.3459024741251
"A1AG1_N103_H(5)N(4)S(2)",23.2904910446893,23.2192764708151,23.25375259148,21.938370654087,24.0982439227164,22.8418670002417,23.2519628659485,23.6198498179011,23.8779994674104,24.0667284094759,20.2460362906334,23.7130439089112,22.8555201287862,23.6642579324611,19.2921681875189,25.3336408471904,21.8661148857965,21.9273816104342,22.1796572112641,22.9345846401106,21.5536338491064,23.636985025163,24.3185052302957,22.0648031464406,22.8975133626775,21.7547878032041,21.4354660766164,21.7540236103887,21.1338622661426,21.4104209965607,21.4515788973383,24.0436529610444,23.0458350022728,23.5899673502997
"A1AG1_N103_H(5)N(4)S(2)F(1)",17.1885098321925,17.0561930939727,18.4477162117952,16.8457256188129,16.5272362930586,17.9924648249368,18.5889073866556,18.7748079794154,18.2183321884952,17.3885248149403,20.4753514299482,16.8567036828762,16.4714022977645,18.2144583433951,12.9552265117538,16.2686926831924,17.8827958010833,18.2837556509238,17.3677202378693,18.9914211689571,16.65371725972,18.6898847948765,18.693198190172,17.9047165582062,18.9507730301967,18.1647322122898,17.5952591243847,16.9051844291353,16.9110518369324,17.7454189532548,17.5252178565978,17.9491258142541,18.1477342831376,18.8466416642231
"A1AG1_N103_H(5)N(5)S(2)",16.7099330324866,18.9323075442607,15.0048919125937,18.0605604647652,16.3765975883631,18.2762727201894,17.7258828124621,16.8613006378433,17.5789670149831,16.4384656448495,21.0279061686316,19.1854620509745,16.8519467251041,16.9826513205911,15.3081891219419,18.5795378070749,16.8270966045404,17.4151532653746,15.8642924536334,15.6929305667597,14.5858518039825,17.7872854869941,18.5350833708403,16.0489980595467,16.3468154627268,16.122949908709,15.3696028834826,15.9044906008527,16.7449839580397,16.9182584894686,17.0687662218941,18.2363247573444,17.0649035940561,18.3647861847906
"A1AG1_N103_H(5)N(5)S(3)F(1)",20.9636048079368,19.7593909548074,17.9841243994986,19.6411377404225,20.0866312525462,18.7716047736531,18.1967108941067,22.4418006989988,20.083702126419,21.289944422966,19.9219677284024,20.9050766283055,19.3930900349528,20.419723549587,18.0967672680235,20.7526647479899,17.679067790761,18.8902840128122,18.4628033017722,19.2569278589897,18.4874830217625,18.683211358665,20.1450370852329,18.0686351353072,19.1784377588164,19.3014834643055,18.842240205164,19.7235464310121,15.9211365912477,19.7492155189269,19.9702824592004,19.2824178747716,18.9919244845849,19.7168848836999
"A1AG1_N103_H(5)N(6)F(3)",21.0463552848471,20.8323936300563,21.3881718739862,21.5632044005018,20.8423165866389,20.4359916129708,21.5593275836782,21.3983273688532,21.6053984888011,21.7203621974242,18.5138071102062,21.5894309592348,21.1213181092737,21.1890250550585,20.3717113526161,21.5281325479599,20.7711876051303,20.5007464671936,21.7089730036069,18.1879092143974,19.5897335106346,20.3259861555875,20.3522349099935,20.5432462659777,19.3273704193039,20.0476844329987,19.3566505409815,20.9579670596034,19.939657311889,20.4350933157805,20.8025665215485,21.2052261441168,19.8300581112416,20.0005436131528
"A1AG1_N103_H(6)N(4)S(2)",17.6685812887582,17.3677637252326,17.6900586243855,18.1676975590989,18.1841714967183,18.3503103021598,19.1790747387436,17.4358962901376,18.7883994855696,17.0893211059492,18.6626675901591,19.5596864341881,18.5319274196334,17.4148098486592,17.2597998486094,20.3581348847516,17.1293955480023,18.0133127393767,16.5284411600584,16.5943864837517,16.8620336571908,18.4019824183164,19.2955338530229,18.071366292469,18.1043027136557,17.1787268988236,16.6750623022635,15.9206380635432,17.535952922336,18.0116654281364,18.3053070182515,18.8206411786646,18.477050083079,18.6954343545596
"A1AG1_N103_H(6)N(5)S(1)F(2)",21.1252366159583,20.9684373317856,20.3250987991564,22.1515265658851,21.0373631642723,20.8403665559467,21.2006499315181,21.7850227355017,22.2115105584374,21.1655320568004,17.1923012966372,22.9062842345844,21.4450608344155,21.8058807027245,19.4294068062878,23.2562125318437,20.3637092050922,20.3150103239472,21.3270187117251,20.1377936449436,20.861255369648,21.8965204422744,23.0536213350787,21.0960293292218,21.1339573809132,20.1915850546555,19.2724762925137,21.6566037103569,19.9737289302386,21.1858501800298,21.5854420333925,22.7624637440428,21.7678987608344,22.7599015888656
"A1AG1_N103_H(6)N(5)S(2)",21.3069984346971,20.7717345941216,20.5935943540495,21.5662051964931,21.4558700113469,20.9418805990517,22.0207754355119,22.066190527496,22.4296266352269,21.43248454644,16.2593437607214,23.2805718594454,21.9609240783026,22.1080687793509,19.5905728744106,23.5697854730426,20.3949267418775,19.8222752798091,22.0048815173779,20.3232002307844,21.0247994577246,22.1311526532275,23.3890210719333,21.5364532307404,21.3453510530207,21.3240617044061,19.6977982757474,21.9566694857764,20.0196595827625,21.9296662208507,22.1401323716812,23.1776554382835,22.0690930867573,23.1361996951066
