"Accession","Coefficient","P_Value","R_Squared","Q_Value"
"A1AG1_ATFF_H(6)N(5)F(6)",-6.0086542781782,0.823488074826632,0.00162979807200327,0.942665347897298
"A1AG1_ATFF_H(6)N(5)S(2)F(2)",15.258649335408,0.206986934260211,0.0508593986876578,0.579186426090828
"A1AG1_ATFF_H(6)N(5)S(3)",6.72992467924065,0.535286984847938,0.012520524733133,0.827511988332154
"A1AG1_ATFF_H(7)N(6)S(1)F(2)",9.71433402618302,0.587341980980475,0.00960832990435907,0.846814786584866
"A1AG1_ATFF_H(7)N(6)S(2)F(4)",22.6476662405241,0.134881872279568,0.0706543789733688,0.491413782296469
"A1AG1_ATFF_H(7)N(6)S(3)",4.62328985784922,0.75276468481127,0.00324746052592601,0.915627517462488
"A1AG1_ATFF_H(7)N(6)S(3)F(2)",18.2497586599449,0.170352742410823,0.0597603800368546,0.539386260394842
"A1AG1_CANL_H(5)N(4)F(4)",4.85245715339513,0.679389005959275,0.0055840294845434,0.88661109130856
"A1AG1_CANL_H(5)N(4)S(1)F(2)",7.83249909953678,0.52806349223607,0.0129662251360789,0.822996565011675
"A1AG1_CANL_H(5)N(4)S(2)",9.45864946600544,0.473479030556044,0.0167036539577872,0.802608893213956
"A1AG1_CANL_H(5)N(5)S(2)",-14.2779857026595,0.326737101575339,0.0310365650677006,0.702770649804601
"A1AG1_CANL_H(6)N(5)F(6)",-3.46452917110491,0.795394819267069,0.00220194205750588,0.930816407618011
"A1AG1_CANL_H(6)N(5)S(1)",-7.8013445838259,0.593705369553988,0.00928621686183627,0.849166362005329
"A1AG1_CANL_H(6)N(5)S(1)F(2)",-12.8581381639265,0.367431415720775,0.026277888357487,0.733676296179044
"A1AG1_CANL_H(6)N(5)S(2)",-9.40284989888464,0.515578049719416,0.0137622926634386,0.817775821237688
"A1AG1_CANL_H(6)N(5)S(2)F(1)",-21.6147193701989,0.162121881105761,0.0620530829118953,0.528434450575554
"A1AG1_CANL_H(6)N(5)S(2)F(2)",-8.81901359745997,0.558478782588911,0.0111600058077281,0.834582655054942
"A1AG1_CANL_H(6)N(5)S(3)",-9.11865427319869,0.567953139563231,0.0106339019907576,0.838283693890592
"A1AG1_CANL_H(6)N(5)S(3)F(1)",-9.64277453799379,0.407931585573351,0.022199328300024,0.762922716485626
