"Accession","Coefficient_age","P_Value_age","R_Squared_age","Q_Value_age","Coefficient_alb","P_Value_alb","R_Squared_alb","Q_Value_alb","Coefficient_alt","P_Value_alt","R_Squared_alt","Q_Value_alt","Coefficient_ast","P_Value_ast","R_Squared_ast","Q_Value_ast","Coefficient_bp_syst","P_Value_bp_syst","R_Squared_bp_syst","Q_Value_bp_syst","Coefficient_c02","P_Value_c02","R_Squared_c02","Q_Value_c02","Coefficient_crp","P_Value_crp","R_Squared_crp","Q_Value_crp","Coefficient_ferritin","P_Value_ferritin","R_Squared_ferritin","Q_Value_ferritin","Coefficient_gluc_rand","P_Value_gluc_rand","R_Squared_gluc_rand","Q_Value_gluc_rand","Coefficient_hct","P_Value_hct","R_Squared_hct","Q_Value_hct","Coefficient_hgb","P_Value_hgb","R_Squared_hgb","Q_Value_hgb","Coefficient_lact1_res","P_Value_lact1_res","R_Squared_lact1_res","Q_Value_lact1_res","Coefficient_onset_days","P_Value_onset_days","R_Squared_onset_days","Q_Value_onset_days","Coefficient_plates","P_Value_plates","R_Squared_plates","Q_Value_plates","Coefficient_pulse","P_Value_pulse","R_Squared_pulse","Q_Value_pulse","Coefficient_resp","P_Value_resp","R_Squared_resp","Q_Value_resp","Coefficient_temp","P_Value_temp","R_Squared_temp","Q_Value_temp","Coefficient_totbili","P_Value_totbili","R_Squared_totbili","Q_Value_totbili","Coefficient_urea","P_Value_urea","R_Squared_urea","Q_Value_urea","Coefficient_uvascore","P_Value_uvascore","R_Squared_uvascore","Q_Value_uvascore","Coefficient_wbc","P_Value_wbc","R_Squared_wbc","Q_Value_wbc"
"1433E_S210_M1_2_210",3.68058411585239,0.594221201284705,0.00896783458930471,0.984033496280483,2.06236634351546,0.500822264443259,0.01474669586724,0.719546069745214,8.34104732523293,0.0723287763355497,0.10044157488515,0.605001190596696,8.25343796154788,0.560976659520514,0.0110196702893001,0.838147268225005,17.8796291656636,0.0722971167690964,0.0974357971584211,0.856185097619064,-0.624376614038951,0.698224124553452,0.00508206710693564,0.992021863294404,-65.8281522686412,0.0719974817236272,0.100663226528539,0.284139794182015,-241.070417332464,0.317945407156606,0.0356108354432112,0.786515230664499,1.40160269819305,0.145581519724654,0.067069900840954,0.996478489269037,-0.073067868563783,0.982481800075124,1.58054559519476e-05,0.994383865310319,0.245071922250398,0.839620014896523,0.00134178448995817,0.931788828561856,-0.808186966630149,0.0741252016250831,0.0962648278385739,0.993269790021399,2.17548888296084,0.788429626456599,0.00228318783524379,0.978076796221951,-23.257616982595,0.542245997650953,0.0121011636890113,0.780379079934347,-4.47902586246373,0.532335865867246,0.0123007095082861,0.838015745691385,-4.25302781797332,0.0186528948331345,0.16105682925816,0.113143860713862,0.0598728036674995,0.864017195722664,0.000930588616128837,0.999916007882834,64.7518638804408,0.0379680772120189,0.13164007480871,0.488728621787266,2.05782369511287,0.173222509528897,0.0589894561296889,0.513841116596283,-1.00702933506118,0.124922675867582,0.0720050114700578,0.375881219983673,-0.67889717999785,0.653164134061963,0.00659798132325662,0.827528121781508
"1433F_S46_M1_2_46",-2.80960321590934,0.752903108325171,0.00314092290720139,0.984033496280483,2.2939503638753,0.565708685118546,0.0107570235761123,0.758333132597044,-3.78337791617498,0.540857177285773,0.0121840811085002,0.893501093348599,-3.29223616087951,0.859014768122774,0.00103381247619196,0.951802804541989,10.3361657268173,0.430036991259015,0.0195719301369819,0.918559768538244,0.293424285292314,0.887965912795315,0.000672448029042743,0.997504863834715,-50.6443523013441,0.296267833340705,0.0351293851216976,0.565927742726404,-324.243954176363,0.257545518566951,0.0455343900941451,0.751259259693319,-0.164545456091966,0.89739195499085,0.00054501768084992,0.996478489269037,-3.91866349040778,0.362618661153532,0.0268034736932238,0.617805091030335,-0.90725199739593,0.564168034186788,0.0108420775244052,0.76842081063645,-0.713946923002565,0.227613711349699,0.0451532490776754,0.993269790021399,14.5222630584905,0.158538146020535,0.0611518646478471,0.773109360568609,-118.946570465576,0.0120556907472287,0.186621444288762,0.100154969284669,-4.59031187511576,0.620192990331846,0.00776534238399824,0.881044132559966,-6.19930781517623,0.00706485448889868,0.205675376180737,0.0711038274033087,0.0688923819125048,0.878579032035599,0.000740549590182605,0.999916007882834,20.903432126328,0.618667296066587,0.00808871919302754,0.911027198863601,0.125167507179644,0.950042554698491,0.000128677394914166,0.982278329375014,-0.636528796511189,0.458513045774754,0.0172913058267403,0.691749073119307,-4.63350714991104,0.0135158945382069,0.181210657761182,0.105552700203139
"1433G_S71_M1_2_71",0.424707606199711,0.877500401960768,0.000753865336425541,0.99255375641847,0.990702628721609,0.40545154093304,0.0224325650409409,0.646270490731283,-0.430200933754519,0.816618856315917,0.00176134425493561,0.956357655584998,0.853931584663187,0.877573345145113,0.000777632099610816,0.958092077720541,5.34168897171319,0.182249630437383,0.0549058127812411,0.880334632556971,0.361424791713046,0.560930478288615,0.0113936367407024,0.992021863294404,5.09382365322284,0.727469613291604,0.00397342056017559,0.872254386042573,-178.099382740624,0.0325651167052486,0.153002909366953,0.418256117842871,0.0680964737639272,0.85835205256518,0.00104365334189844,0.996478489269037,0.194266003220017,0.880830946761223,0.000736507151349408,0.954917682708268,0.193260102103953,0.681667357268605,0.00550058992448193,0.839057435619257,-0.0391691292818346,0.831993530008124,0.00142755020534639,0.996761900327642,-7.78727910828493,0.0111912814070054,0.184696637587029,0.476273807339397,-34.8702844831083,0.0140644813703275,0.179323371326997,0.110814098768345,-4.52651698320696,0.1066172257028,0.0793141972179584,0.498629063292133,-0.776330864246579,0.297384747057294,0.0338794230353386,0.508228351975955,-0.132937250882436,0.335910465489746,0.0289635328396301,0.999916007882834,7.69400740518467,0.539719183978214,0.0122523100668472,0.890704111203001,-0.240861570457394,0.686458787125621,0.00532748577608231,0.873710695427494,-0.189366994263808,0.474902325345934,0.016074839830996,0.703300166097591,-0.445913205380269,0.44715939532376,0.0187643250204272,0.695476572705869
"1433Z_S207_M1_2_207",6.21054651963177,0.287752336351352,0.0352345095354764,0.971138153528671,4.23815970228662,0.154832584856648,0.064192201736309,0.398835768321838,4.53191303701701,0.330512253027917,0.030563283955396,0.809293073088927,-8.15870100560814,0.559552279063574,0.0110995505057246,0.837534343796076,13.9054118775198,0.102092067030702,0.0813249380169439,0.856185097619064,0.810321834243067,0.606899653510106,0.00893183937691148,0.992021863294404,-16.4955099078957,0.655205923429173,0.00651543692129308,0.83579337757005,-334.393070849155,0.141952497087317,0.0754072644945352,0.658873854405284,-0.694635450718051,0.469801775406,0.0169807254470009,0.996478489269037,1.6081362008387,0.622993038897764,0.00789158695194348,0.81322280078973,0.537278174573176,0.651946466307859,0.00664750371857416,0.823902810500903,-0.467264732049494,0.231600398992687,0.0444042416320225,0.993269790021399,-8.68426334544764,0.202693876339232,0.0502051619877543,0.809313331316608,39.0567245931879,0.295938142326204,0.0351765209322436,0.586497379739594,-13.5206861685884,0.0213885979695109,0.154673169492525,0.269669831392088,-1.99322057797182,0.209228882883247,0.0488143960632051,0.411203825844899,0.318599892022153,0.280030654963225,0.0363617093781096,0.999916007882834,0.755145685887685,0.981070671681572,1.8454810991074e-05,0.995423452550607,0.222054755955345,0.883142645242249,0.000708015493533719,0.967043657446399,-1.14010074763456,0.0382812327991851,0.127356008463035,0.226920078761434,1.4475657179639,0.327659064169786,0.0309203349104648,0.602400173488871
"2A5D_S573_M1_2_573",-0.410607529641795,0.968665563856336,4.89791349957367e-05,0.996965150083979,7.51161107069695,0.091410912781176,0.0891680320167423,0.300808639856547,10.7261729437259,0.121198695715082,0.0757080098430924,0.637922259212968,40.4547624972816,0.0476144084208868,0.120675199821729,0.310499878027901,13.9509353517511,0.361980296719396,0.0260322304139114,0.916363155960674,4.49909743161808,0.0605652062835667,0.112500343297827,0.992021863294404,2.78884627523011,0.960025358193664,8.23524578393572e-05,0.982223105662131,-185.386327000686,0.577766561074304,0.0112023378682013,0.900289956778429,0.961484449579759,0.506144270629734,0.0143860723641272,0.996478489269037,6.57981062140466,0.175376859440215,0.058419903576427,0.420221176191165,2.31439152774508,0.190848992077062,0.0545442797578392,0.444530501400285,-0.255780406063426,0.714739759738822,0.00423137676701257,0.996761900327642,-10.282353782507,0.398389282594726,0.0223828914593869,0.911662916449327,-74.1969645297838,0.18431437070726,0.056136958727255,0.461098324006636,-14.8725104931508,0.164401655103948,0.0595161443925506,0.580030944985859,1.02597579270052,0.718593685054631,0.00411301340270932,0.843790198202574,0.110077151279956,0.834754240871648,0.00138037189089807,0.999916007882834,-16.484738870301,0.730274754910258,0.00388890749735138,0.945814426683552,-1.66913150015195,0.460594496120509,0.0176896429894846,0.7583218224078,-1.85757804738291,0.058337310627231,0.107516673408267,0.265485726061027,-6.08601134230933,0.00366590195073447,0.241684324928889,0.0469150688955266
"3BP1_S17_M1_2_17",6.48196514262029,0.465892266184243,0.016735303238859,0.971138153528671,-3.86616792892633,0.314670757660633,0.0325974488364663,0.567983766148974,6.72184802724091,0.258256524901076,0.0410306888426586,0.771802142033589,9.12156713651655,0.610559367137849,0.0084663617775894,0.86292910235761,9.03481153032271,0.49061742241193,0.0149694496181674,0.920656919233972,0.673622777033641,0.73785944843778,0.00378942136740489,0.993679388139269,18.7058081438472,0.692527545638192,0.00511280882572639,0.857046386832284,-28.957128460808,0.927468626697817,0.000301231629328132,0.981556185233731,0.626962841217498,0.611085784291059,0.00844151710026238,0.996478489269037,-9.03056753337697,0.0249775112215089,0.151859975986664,0.153244620003592,-3.04070022866865,0.0393350841343868,0.129927760520361,0.186883854664233,-0.0956698194664923,0.872930109946749,0.000811633514525748,0.996761900327642,3.63223713031076,0.728085535221461,0.00382950289328899,0.978076796221951,28.4395511665662,0.554577622005605,0.01138154631163,0.788590144586005,4.81105498036398,0.603216228479194,0.00853905422886028,0.873038654760441,-0.791594853759059,0.744816890091108,0.00335702620939828,0.857527090307703,0.436500335563648,0.329253415208253,0.0297600610702701,0.999916007882834,85.0798980620511,0.0300458319827909,0.142954088374302,0.471607927265912,4.30991358751118,0.0199040674134179,0.162762471789491,0.206405645214554,0.143612415595075,0.867649213989088,0.000881106822496921,0.943272948574437,2.7308848292773,0.14532171736648,0.0671535426333166,0.413673755449132
"3BP1_S262_M1_2_262",-0.0816270662369133,0.987569050962303,7.705426508113e-06,0.996965150083979,-4.09321667387905,0.0667037481985784,0.104352941344549,0.251160031482402,4.8383794835872,0.166877193078267,0.0607133681246546,0.687591160646501,10.2120131085596,0.332585204943362,0.0303063526771872,0.679636891096273,-10.7366300642758,0.157746142037547,0.0613778569471736,0.870709639584481,0.457304789850611,0.702022544765579,0.00494887834220922,0.992021863294404,44.2102322585324,0.107152394176341,0.0815652622570269,0.344318433536166,110.176356233865,0.519053000001046,0.0150025570900552,0.881596052807982,0.706023717036634,0.330439581574669,0.0305723288598726,0.996478489269037,-0.697495013398044,0.778621555989627,0.00258731015190607,0.902572297914789,-0.32676658509401,0.717395992802169,0.00428531804291156,0.860408845105094,0.268455258872769,0.44239461247036,0.0185550444238663,0.996761900327642,-5.67007660935233,0.352234665517736,0.0270944270516655,0.893808079606038,17.8018673778881,0.531769796829802,0.0127362025540078,0.776864619057196,3.20465938070697,0.554977382051835,0.0110002102616319,0.85235166027168,3.4867561383623,0.0101662189776602,0.189103714417812,0.084299658488913,-0.066584677389002,0.801192688209456,0.00201057999714432,0.999916007882834,34.6033047868814,0.144142238726735,0.0675353034832562,0.683537316063174,2.39477919193694,0.0296979448658655,0.143516271845723,0.239095454301914,0.812034575312775,0.101073661341547,0.081790287682544,0.342847434441752,2.09247122374411,0.0562527038728666,0.112598910474973,0.244202914459856
"3BP1_S544_M1_2_544",-3.10815856946376,0.730201646477703,0.00376783615934329,0.984033496280483,0.173301749314484,0.966352547625941,5.83325498629385e-05,0.981424101121024,5.26021587657692,0.406029714757999,0.0223780092103599,0.849833431104178,3.59060592450097,0.85021805494025,0.00116835890801144,0.948301992175819,-6.23319594687347,0.638607153149451,0.00697677422445751,0.942270068025915,3.86826231619054,0.0690327043795542,0.105982258419551,0.992021863294404,70.8511751249702,0.151115179671305,0.065325629246846,0.404667719320238,79.6911596711308,0.797965886334877,0.0023795267754703,0.951523007988074,0.144864832358274,0.911884960661173,0.000401370750527045,0.996478489269037,-1.84934185726513,0.677010276951966,0.0056719255226961,0.841789144830175,-0.748132414812126,0.643318347589765,0.00700478108045416,0.819744933274095,-0.167980622394928,0.78101148838254,0.00245015696135941,0.996761900327642,-18.0394428155473,0.0803427325600269,0.0924923310891936,0.690691583398123,63.479463640491,0.2086342770123,0.0505016042520082,0.492929674666367,-14.1966752028856,0.122763549856286,0.0728061215391702,0.521686179235734,2.4448862818857,0.316410786966063,0.0313567906785356,0.530707183593078,0.220787575074853,0.627284272839745,0.00745554481795632,0.999916007882834,43.4089502357915,0.310591371017053,0.0331424117605286,0.802930070989417,2.04270810822266,0.314937551441524,0.0325621190650735,0.659670519291896,-0.129440079969139,0.881852009978146,0.000700886357288567,0.951240121847316,4.73674376111543,0.0138856830009305,0.179930516110292,0.107222996217567
"3BP5L_S358_M1_2_358",-12.8729764373472,0.0666990458310427,0.101218874572055,0.971138153528671,-11.7535604234694,1.64438519443755e-05,0.455570328559543,0.00227541801280296,6.26927445088165,0.193264156727841,0.0539709859226146,0.711958141423363,41.4768665779826,0.00218948459945801,0.264706216842013,0.0829644407192611,-12.8443924025374,0.221174006121108,0.0463957414998134,0.897670484971831,-2.9860215224711,0.0640917795877521,0.109680212724763,0.992021863294404,27.4569740890089,0.474097804957327,0.0166573652222858,0.721432395072131,518.55385272858,0.0261848355615805,0.164474974199739,0.39141019005123,-0.609563634860489,0.542834096203842,0.0120661677409734,0.996478489269037,-11.3045356852119,0.000224461109933961,0.359842995205649,0.0138043582609386,-4.02465178637434,0.000332668773701242,0.344195920700084,0.0141640127879721,0.252059037458177,0.601079972938223,0.00863968606326822,0.996761900327642,25.543963357295,0.00100727061189583,0.2904383305278,0.249619832739575,-17.8064189722686,0.649519095710778,0.00674688529572551,0.849869293832603,25.0298899107654,0.000203903095873266,0.354429908384563,0.0618107468935477,0.358405119899564,0.855281020146197,0.00105531125430938,0.925033774474586,-0.115880027761175,0.750046519774218,0.00321636396201931,0.999916007882834,21.0243407326557,0.524339179062685,0.013200238824572,0.887563820645383,1.9866869016105,0.200518229644252,0.0522962280016002,0.542886022520051,2.10743640546366,0.000994674907576249,0.290962418427994,0.0468555371356131,0.0633687797632311,0.96742323309841,5.46773181633443e-05,0.988830048897377
"3BP5L_S362_M1_2_362",-10.496938831293,0.0696808872306221,0.099165240881948,0.971138153528671,-9.72322253336876,1.30295480771083e-05,0.463421866024137,0.00206052996019412,5.15410886705949,0.192204104885357,0.0542216202257358,0.710417175653055,27.8758024620297,0.0145461905583241,0.177724191495526,0.179917686570557,-8.65731549316865,0.318779119462565,0.031056181902153,0.916363155960674,-2.04270507922301,0.12635568448434,0.0761360810311568,0.992021863294404,15.4569516056148,0.623986834752595,0.00784672050024733,0.818913368193388,453.115536439131,0.0191206577767213,0.180908422764842,0.352163161945958,0.0841488299218244,0.918663485965884,0.000341795979652244,0.996478489269037,-9.18262956632991,0.000267388365098052,0.35292404916169,0.0149518717331172,-3.4695296596665,0.000132762328417391,0.380215514757171,0.00949574288424854,0.0746200946404349,0.851244709930796,0.00111566957250197,0.996761900327642,19.0801791408465,0.00336561466360235,0.238766198663396,0.32708341576663,3.44351328875289,0.914811895560835,0.000375053486009599,0.968856032897244,19.3512605996794,0.00059420061390809,0.312148742254886,0.0885978965336633,1.26450281078104,0.432624844297238,0.0193554084463334,0.635038312821173,0.0285965308146552,0.924028810101225,0.000288605955586354,0.999916007882834,24.7163694053262,0.359785545965317,0.0271172658993445,0.820552409665665,1.35682738541466,0.288498729441686,0.0362576989197808,0.635874750606166,1.37542869902632,0.0117098270856255,0.182614260141326,0.141228642278359,0.40660143138467,0.749157715893376,0.00334606097848722,0.885313681872396
